season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers,imdb_rating,total_votes,desc
5,6,46,"Unbowed, Unbent, Unbroken",Jeremy Podeswa,Bryan Cogman,2015-05-17,6240000.0,7.9,30058,Arya is put to the test. Tyrion and Jorah are captured by slavers. Loras Tyrell is judged by the Sparrows. Jaime and Bronn face the Sand Snakes. Sansa marries Ramsay Bolton.
5,7,47,The Gift,Miguel Sapochnik,David Benioff & D. B. Weiss,2015-05-24,5400000.0,8.9,29119,Jon heads east as trouble begins to stir for Sam and Gilly at Castle Black. Sansa asks Theon for help. Tyrion and Jorah are sold as slaves. Cersei savors her triumph over the Tyrells as new plots are developed in the shadows.
5,8,48,Hardhome,Miguel Sapochnik,David Benioff & D. B. Weiss,2015-05-31,7010000.0,9.8,98671,Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.
5,9,49,The Dance of Dragons,David Nutter,David Benioff & D. B. Weiss,2015-06-07,7140000.0,9.4,42992,Jon and the wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Meryn Trant. Daenerys attends the grand reopening of the fighting pits.
5,10,50,Mother's Mercy,David Nutter,David Benioff & D. B. Weiss,2015-06-14,8109999.999999999,9.1,41711,Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.
6,1,51,The Red Woman,Jeremy Podeswa,David Benioff & D. B. Weiss,2016-04-24,7940000.0,8.4,39370,The fate of Jon Snow is revealed. Daenerys is brought before Khal Moro. Tyrion gets used to living in Meereen. Ramsay sends his dogs after Theon and Sansa. Ellaria and the Sand Snakes make their move. Cersei mourns for Myrcella.
6,2,52,Home,Jeremy Podeswa,Dave Hill,2016-05-01,7290000.0,9.3,46102,Bran trains with the Three-Eyed Raven. Tommen meets with Cersei. Tyrion makes a bold move. Theon leaves while at Pyke new issues arise. Ramsay's brother is born. Davos asks Melisandre for a miracle.
6,3,53,Oathbreaker,Daniel Sackheim,David Benioff & D. B. Weiss,2016-05-08,7280000.0,8.6,33550,"Daenerys arrives at Vaes Dothrak. Sam and Gilly sail for Horn Hill. Arya trains as No One. Varys finds information on the Sons of the Harpy. Ramsay receives a gift. Tommen meets with the High Sparrow. At Castle Black, a miracle occurs."
6,4,54,Book of the Stranger,Daniel Sackheim,David Benioff & D. B. Weiss,2016-05-15,7820000.0,9.0,36040,Sansa arrives at Castle Black. Tyrion makes a deal with the slave masters. Jorah and Daario sneak into Vaes Dothrak. Ramsay sends a letter to Jon. Theon arrives at Pyke. Cersei and Olenna Tyrell plot against the High Sparrow.
6,5,55,The Door,Jack Bender,David Benioff & D. B. Weiss,2016-05-22,7890000.0,9.7,69767,Sansa and Jon make plans. Arya is given another chance to prove herself. Jorah confesses a secret to Daenerys. Tyrion meets with a red priestess. Yara finds her rule tested. Bran discovers the origin of the White Walkers.
6,6,56,Blood of My Blood,Jack Bender,Bryan Cogman,2016-05-29,6710000.0,8.3,33266,Bran and Meera find a new ally. Gilly meets Sam's family. Arya makes a difficult choice. The Lannisters and Tyrells march against the High Sparrow.
6,7,57,The Broken Man,Mark Mylod,Bryan Cogman,2016-06-05,7800000.0,8.5,32421,Jon and Sansa gather troops. Jaime arrives at Riverrun. Olenna Tyrell plans to leave King's Landing. Theon and Yara plan a destination. Arya makes plans to leave.
6,8,58,No One,Mark Mylod,David Benioff & D. B. Weiss,2016-06-12,7600000.0,8.3,36576,Brienne arrives at Riverrun. Arya seeks shelter. Jaime meets with Edmure Tully. Cersei challenges the Faith. Sandor Clegane hunts for revenge. Tyrion faces the consequences of earlier decisions.
6,9,59,Battle of the Bastards,Miguel Sapochnik,David Benioff & D. B. Weiss,2016-06-19,7660000.0,9.9,203879,Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.
6,10,60,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,2016-06-26,8890000.0,9.9,143780,Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.
7,1,61,Dragonstone,Jeremy Podeswa,David Benioff & D. B. Weiss,2017-07-16,10110000.0,8.5,50157,"Jon organizes the North's defenses. Cersei tries to even the odds. Daenerys comes home. Arya reminds the Freys ""the North remembers."" Sam adapts to life in Oldtown. The Night King makes his way south."
7,2,62,Stormborn,Mark Mylod,Bryan Cogman,2017-07-23,9270000.0,8.8,43672,Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.
7,3,63,The Queen's Justice,Mark Mylod,David Benioff & D. B. Weiss,2017-07-30,9250000.0,9.1,45708,Jon and Daenerys finally meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.
7,4,64,The Spoils of War,Matt Shakman,David Benioff & D. B. Weiss,2017-08-06,10170000.0,9.7,86600,Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.
7,5,65,Eastwatch,Matt Shakman,Dave Hill,2017-08-13,10720000.0,8.7,43408,Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.
7,6,66,Beyond the Wall,Alan Taylor,David Benioff & D. B. Weiss,2017-08-20,10240000.0,9.0,63062,Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.
7,7,67,The Dragon and the Wolf,Jeremy Podeswa,David Benioff & D. B. Weiss,2017-08-27,12070000.0,9.4,62910,"Everyone meets in King's Landing to discuss the fate of the realm. In Winterfell, Sansa confronts Arya. Sam reaches Winterfell, where he and Bran discover a shocking secret about Jon Snow."
8,1,68,Winterfell,David Nutter,Dave Hill,2019-04-14,11760000.0,7.6,130346,Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.
8,2,69,A Knight of the Seven Kingdoms,David Nutter,Bryan Cogman,2019-04-21,10290000.0,7.9,128712,Jaime faces judgment and Winterfell prepares for the battle to come.
8,3,70,The Long Night,Miguel Sapochnik,David Benioff & D. B. Weiss,2019-04-28,12020000.0,7.5,212837,The Night King and his army have arrived at Winterfell and the great battle begins.
8,4,71,The Last of the Starks,David Nutter,David Benioff & D. B. Weiss,2019-05-05,11800000.0,5.5,162708,The Battle of Winterfell is over and a new chapter for Westeros begins.
8,5,72,The Bells,Miguel Sapochnik,David Benioff & D. B. Weiss,2019-05-12,12480000.0,6.0,189615,Forces have arrived at King's Landing for the final battle.
8,6,73,The Iron Throne,David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,2019-05-19,13610000.0,4.1,242548,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors."
